business_date,fund_code,fund_product_id,product_type,price_above_year_line,weekly_macd_state,volume_state,current_nav
2026-07-04,008585,6170,ETF,true,RED_SHRINKING,NORMAL,1.85340000
2026-07-05,008087,5778,ETF,true,RED_SHRINKING,,3.45800000
2026-07-05,008585,6170,ETF,true,RED_SHRINKING,NORMAL,1.85340000
2026-07-05,008888,6416,ETF,true,RED_SHRINKING,NORMAL,2.50150000
2026-07-05,011608,8713,INDEX,true,RED_SHRINKING,NORMAL,1.50790000
2026-07-05,012832,9798,ETF,true,GREEN_EXPANDING,,0.67010000
2026-07-05,016708,13097,ETF,true,GREEN_EXPANDING,,1.72910000
2026-07-05,017175,13492,ETF,false,GREEN_EXPANDING,,1.07390000
2026-07-05,020608,16637,ETF,true,RED_SHRINKING,,1.65480000
2026-07-05,110026,23860,ETF,true,RED_SHRINKING,,4.08320000
2026-07-06,008087,5778,ETF,true,RED_SHRINKING,NORMAL,3.45800000
2026-07-06,008585,6170,ETF,true,RED_SHRINKING,NORMAL,1.85340000
2026-07-06,008888,6416,ETF,true,RED_SHRINKING,NORMAL,2.50150000
2026-07-06,011608,8713,INDEX,true,RED_SHRINKING,NORMAL,1.50790000
2026-07-06,012832,9798,ETF,true,GREEN_EXPANDING,NORMAL,0.67010000
2026-07-06,016708,13097,ETF,true,GREEN_EXPANDING,NORMAL,1.72910000
2026-07-06,017175,13492,ETF,false,GREEN_EXPANDING,NORMAL,1.07390000
2026-07-06,020608,16637,ETF,true,RED_SHRINKING,NORMAL,1.65480000
2026-07-06,110026,23860,ETF,true,RED_SHRINKING,,4.08320000
2026-07-07,008087,5778,ETF,true,RED_SHRINKING,NORMAL,3.35410000
2026-07-07,008585,6170,ETF,true,RED_SHRINKING,NORMAL,1.84250000
2026-07-07,008888,6416,ETF,true,RED_SHRINKING,NORMAL,2.51960000
2026-07-07,011608,8713,INDEX,true,RED_SHRINKING,NORMAL,1.52290000
2026-07-07,012832,9798,ETF,true,GREEN_EXPANDING,NORMAL,0.65750000
2026-07-07,016708,13097,ETF,true,GREEN_EXPANDING,NORMAL,1.71370000
2026-07-07,017175,13492,ETF,false,GREEN_EXPANDING,,1.06790000
2026-07-07,020608,16637,ETF,true,RED_SHRINKING,NORMAL,1.59610000
2026-07-07,110026,23860,ETF,true,RED_SHRINKING,NORMAL,4.01380000
2026-07-08,008087,5778,ETF,true,RED_SHRINKING,NORMAL,3.34540000
2026-07-08,008585,6170,ETF,true,RED_SHRINKING,NORMAL,1.83540000
2026-07-08,008888,6416,ETF,true,RED_SHRINKING,NORMAL,2.50820000
2026-07-08,011608,8713,INDEX,true,RED_SHRINKING,NORMAL,1.52680000
2026-07-08,012832,9798,ETF,false,GREEN_EXPANDING,NORMAL,0.64960000
2026-07-08,016708,13097,ETF,false,GREEN_EXPANDING,NORMAL,1.67050000
2026-07-08,017175,13492,ETF,false,GREEN_EXPANDING,NORMAL,1.04980000
2026-07-08,020608,16637,ETF,true,RED_SHRINKING,NORMAL,1.57520000
2026-07-08,110026,23860,ETF,true,RED_SHRINKING,NORMAL,3.98030000
2026-07-09,008087,5778,ETF,true,RED_SHRINKING,NORMAL,3.31350000
2026-07-09,008585,6170,ETF,true,RED_SHRINKING,NORMAL,1.85950000
2026-07-09,008888,6416,ETF,true,RED_SHRINKING,NORMAL,2.48940000
2026-07-09,011608,8713,INDEX,true,RED_SHRINKING,NORMAL,1.53740000
2026-07-09,012832,9798,ETF,false,GREEN_EXPANDING,NORMAL,0.62180000
2026-07-09,016708,13097,ETF,false,GREEN_EXPANDING,NORMAL,1.62260000
2026-07-09,017175,13492,ETF,false,GREEN_EXPANDING,NORMAL,1.04540000
2026-07-09,020608,16637,ETF,true,RED_SHRINKING,NORMAL,1.50770000
